deviceID,est_gear,speed,rpm,kpl
3.0,Gear 1,3.05,993.56,1.02
3.0,Gear 2,4.46,982.55,1.49
3.0,Gear 3,7.79,1026.54,2.47
3.0,Gear 4,15.48,1071.07,4.45
3.0,Gear 5,27.76,1153.32,7.16
3.0,Gear 6,66.0,1484.31,11.58
5.0,Gear 1,3.23,926.51,1.23
5.0,Gear 2,4.84,926.6,1.86
5.0,Gear 3,9.51,1180.64,2.77
5.0,Gear 4,21.8,1463.12,4.65
5.0,Gear 5,33.57,1510.01,6.82
5.0,Gear 6,60.63,1715.8,9.16
6.0,Gear 1,3.02,843.33,0.6
6.0,Gear 2,5.11,949.98,0.86
6.0,Gear 3,8.85,1125.15,1.27
6.0,Gear 4,20.07,1309.57,2.2
6.0,Gear 5,40.11,1503.02,3.45
6.0,Gear 6,58.63,1434.92,5.73
8.0,Gear 1,3.18,917.42,1.09
8.0,Gear 2,4.93,968.12,1.56
8.0,Gear 3,9.5,1258.73,2.19
8.0,Gear 4,19.45,1619.51,3.34
8.0,Gear 5,31.29,1684.16,5.2
8.0,Gear 6,54.75,1683.28,8.21
9.0,Gear 1,3.15,1541.48,2.49
9.0,Gear 2,3.44,1174.11,3.38
9.0,Gear 3,4.5,1051.25,4.73
9.0,Gear 4,8.15,1219.9,7.38
9.0,Gear 5,15.55,1261.19,10.82
9.0,Gear 6,39.84,1668.26,14.32
10.0,Gear 1,3.03,903.45,1.12
10.0,Gear 2,4.56,902.67,1.7
10.0,Gear 3,7.82,955.25,2.73
10.0,Gear 4,16.38,1090.88,4.91
10.0,Gear 5,29.42,1183.8,7.89
10.0,Gear 6,59.33,1374.32,12.8
12.0,Gear 1,3.05,869.0,1.03
12.0,Gear 2,4.71,889.61,1.56
12.0,Gear 3,8.04,1021.17,2.31
12.0,Gear 4,16.5,1124.94,4.18
12.0,Gear 5,30.55,1290.09,6.58
12.0,Gear 6,60.47,1532.1,9.37
16.0,Gear 1,3.06,1052.11,0.97
16.0,Gear 2,3.97,1008.66,1.29
16.0,Gear 3,5.71,1034.37,1.83
16.0,Gear 4,9.08,1098.04,2.73
16.0,Gear 5,17.31,1168.27,4.91
16.0,Gear 6,42.09,1337.9,9.67
